school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,midtermexam,finalexam,finalgrade
GP,F,16,Urban,>3,Together,2. SMP,1. SD,other,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,no,yes,4. good,3. normal,5. very high,1. very low,1. very low,5. very good,2,8,9,10
GP,F,16,Urban,>3,Together,4. S1,4. S1,other,other,reputation,mother,1. <15 min,1. <2 hours,0,no,no,no,yes,no,yes,yes,no,5. very good,3. normal,4. high,1. very low,2. low,1. very bad,6,11,14,14
GP,F,16,Urban,>3,Together,4. S1,3. SMA,other,at_home,course,mother,1. <15 min,3. 5 - 10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5. very good,3. normal,5. very high,1. very low,1. very low,3. normal,0,7,9,8
GP,M,16,Urban,>3,Together,4. S1,4. S1,services,services,other,mother,1. <15 min,1. <2 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4. good,5. very high,5. very high,5. very high,5. very high,4. good,14,7,7,5
GP,M,16,Urban,>3,Together,4. S1,4. S1,services,teacher,other,father,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4. good,4. high,3. normal,1. very low,1. very low,4. good,0,16,17,17
GP,M,15,Urban,>3,Together,4. S1,4. S1,services,other,course,mother,1. <15 min,1. <2 hours,0,no,yes,no,yes,no,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,5. very good,4,10,13,14
GP,F,15,Urban,>3,Together,3. SMA,2. SMP,services,other,distance,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,yes,yes,yes,no,yes,yes,yes,no,4. good,3. normal,5. very high,1. very low,1. very low,2. bad,26,7,6,6
GP,M,15,Urban,>3,Apart,3. SMA,4. S1,services,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5. very good,4. high,4. high,1. very low,1. very low,1. very bad,0,16,18,18
GP,F,15,Urban,>3,Apart,3. SMA,3. SMA,other,health,reputation,father,1. <15 min,4. >10 hours,0,yes,no,no,no,yes,yes,no,no,4. good,3. normal,3. normal,1. very low,1. very low,4. good,10,10,11,11
GP,F,15,Urban,>3,Together,2. SMP,2. SMP,other,other,course,mother,1. <15 min,4. >10 hours,0,yes,yes,yes,no,yes,yes,yes,no,5. very good,1. very low,2. low,1. very low,1. very low,3. normal,8,7,8,8
GP,M,16,Urban,>3,Together,3. SMA,3. SMA,services,other,distance,father,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,5. very good,2,16,18,18
GP,M,15,Rural,>3,Together,4. S1,4. S1,other,other,distance,father,4. >1 hour,4. >10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,1. very bad,3. normal,5. very high,3. normal,5. very high,1. very bad,6,10,13,13
GP,F,16,Urban,<=3,Together,4. S1,4. S1,health,health,other,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,5. very good,4. high,5. very high,1. very low,1. very low,4. good,4,14,15,16
GP,M,15,Urban,<=3,Apart,4. S1,4. S1,teacher,teacher,course,mother,1. <15 min,1. <2 hours,0,no,no,no,yes,yes,yes,yes,no,5. very good,5. very high,3. normal,1. very low,1. very low,4. good,6,18,19,19
GP,F,16,Rural,>3,Together,3. SMA,3. SMA,services,other,reputation,father,1. <15 min,3. 5 - 10 hours,1,yes,yes,no,yes,yes,yes,yes,no,4. good,1. very low,2. low,1. very low,1. very low,2. bad,0,7,10,10
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,at_home,other,distance,mother,1. <15 min,2. 2 - 5 hours,1,yes,no,no,yes,yes,yes,yes,no,3. normal,1. very low,2. low,1. very low,1. very low,5. very good,6,10,13,13
GP,M,15,Urban,<=3,Together,4. S1,2. SMP,teacher,other,course,mother,1. <15 min,1. <2 hours,0,no,no,no,no,yes,yes,yes,no,3. normal,5. very high,2. low,1. very low,1. very low,3. normal,10,18,19,19
GP,M,15,Rural,>3,Together,2. SMP,1. SD,health,services,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,yes,yes,yes,yes,5. very good,4. high,2. low,1. very low,1. very low,5. very good,8,9,9,9
GP,M,16,Urban,>3,Together,4. S1,4. S1,teacher,teacher,course,father,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,4. high,4. high,1. very low,2. low,5. very good,2,15,15,16
GP,M,15,Urban,>3,Together,4. S1,4. S1,other,teacher,reputation,father,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,no,no,4. good,4. high,3. normal,1. very low,1. very low,2. bad,2,11,13,14
GP,M,16,Urban,>3,Together,3. SMA,3. SMA,other,services,distance,father,2. 15 - 30 mins,1. <2 hours,0,no,no,no,yes,yes,yes,yes,no,5. very good,4. high,2. low,1. very low,1. very low,5. very good,0,13,14,13
GP,M,17,Rural,>3,Together,1. SD,3. SMA,other,other,course,father,3. 30 mins - 1 hour,2. 2 - 5 hours,1,no,yes,no,yes,yes,yes,yes,no,5. very good,2. low,4. high,1. very low,4. high,5. very good,20,9,7,8
GP,M,15,Urban,>3,Together,3. SMA,4. S1,other,other,reputation,father,1. <15 min,1. <2 hours,0,no,no,no,no,yes,yes,yes,no,3. normal,4. high,3. normal,1. very low,2. low,4. good,6,14,13,13
GP,F,15,Urban,>3,Together,1. SD,2. SMP,at_home,services,course,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,no,no,yes,yes,no,3. normal,2. low,3. normal,1. very low,2. low,1. very bad,2,16,15,15
GP,M,15,Urban,>3,Together,2. SMP,2. SMP,services,services,distance,father,1. <15 min,4. >10 hours,0,no,yes,yes,yes,yes,yes,yes,no,5. very good,5. very high,4. high,1. very low,2. low,5. very good,6,16,14,15
GP,F,16,Urban,<=3,Together,2. SMP,4. S1,other,health,course,father,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4. good,2. low,2. low,1. very low,2. low,5. very good,2,13,13,13
GP,M,16,Urban,>3,Together,4. S1,4. S1,health,other,course,mother,1. <15 min,1. <2 hours,0,no,yes,no,yes,yes,yes,yes,no,3. normal,4. high,4. high,1. very low,4. high,5. very good,18,14,11,13
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,other,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,no,yes,no,yes,yes,yes,yes,5. very good,4. high,4. high,1. very low,1. very low,5. very good,0,8,7,8
GP,M,15,Urban,>3,Together,3. SMA,4. S1,services,services,distance,father,1. <15 min,1. <2 hours,0,yes,no,no,no,yes,yes,yes,no,5. very good,5. very high,5. very high,3. normal,2. low,5. very good,0,13,13,12
GP,F,15,Urban,<=3,Apart,3. SMA,4. S1,other,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,yes,no,no,yes,yes,yes,yes,yes,5. very good,3. normal,2. low,1. very low,1. very low,1. very bad,0,7,10,11
GP,F,19,Urban,>3,Together,0. None,1. SD,at_home,other,course,other,1. <15 min,2. 2 - 5 hours,3,no,yes,no,no,no,no,no,no,3. normal,4. high,2. low,1. very low,1. very low,5. very good,2,7,8,9
GP,M,18,Rural,>3,Together,2. SMP,2. SMP,services,other,reputation,mother,1. <15 min,1. <2 hours,2,no,yes,no,yes,yes,yes,yes,no,3. normal,3. normal,3. normal,1. very low,2. low,4. good,0,7,4,0
GP,M,16,Rural,>3,Together,4. S1,4. S1,teacher,teacher,course,mother,1. <15 min,1. <2 hours,0,no,no,yes,yes,yes,yes,yes,no,3. normal,5. very high,5. very high,2. low,5. very high,4. good,8,18,18,18
GP,F,15,Rural,>3,Together,3. SMA,4. S1,services,teacher,course,father,2. 15 - 30 mins,3. 5 - 10 hours,2,no,yes,no,no,yes,yes,yes,yes,4. good,2. low,2. low,2. low,2. low,5. very good,0,12,0,0
GP,F,15,Urban,>3,Together,1. SD,1. SD,at_home,other,course,mother,3. 30 mins - 1 hour,1. <2 hours,0,no,yes,no,yes,no,yes,yes,yes,4. good,3. normal,3. normal,1. very low,2. low,4. good,0,8,0,0
GP,F,17,Urban,<=3,Together,2. SMP,2. SMP,other,other,course,father,1. <15 min,1. <2 hours,0,no,yes,no,no,yes,yes,yes,yes,3. normal,4. high,4. high,1. very low,3. normal,5. very good,12,10,13,12
GP,F,16,Urban,>3,Apart,3. SMA,4. S1,services,other,course,father,1. <15 min,1. <2 hours,0,no,no,no,no,yes,yes,yes,no,3. normal,2. low,1. very low,1. very low,4. high,5. very good,16,12,11,11
GP,M,15,Rural,>3,Together,3. SMA,4. S1,at_home,teacher,course,mother,4. >1 hour,2. 2 - 5 hours,0,no,yes,no,no,yes,yes,no,yes,5. very good,3. normal,3. normal,1. very low,1. very low,5. very good,0,9,0,0
GP,F,15,Urban,>3,Together,4. S1,4. S1,services,at_home,course,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,yes,4. good,3. normal,3. normal,1. very low,1. very low,5. very good,0,11,0,0
GP,M,17,Rural,>3,Together,3. SMA,4. S1,at_home,other,course,mother,3. 30 mins - 1 hour,2. 2 - 5 hours,0,no,no,no,no,yes,yes,no,no,5. very good,4. high,5. very high,2. low,4. high,5. very good,0,10,0,0
GP,F,16,Urban,>3,Apart,3. SMA,3. SMA,other,other,course,other,2. 15 - 30 mins,1. <2 hours,2,no,yes,no,yes,no,yes,yes,yes,4. good,3. normal,2. low,1. very low,1. very low,5. very good,0,4,0,0
GP,M,16,Urban,<=3,Together,1. SD,1. SD,services,other,course,mother,1. <15 min,2. 2 - 5 hours,1,no,no,no,no,yes,yes,no,yes,4. good,4. high,4. high,1. very low,3. normal,5. very good,0,14,12,12
GP,F,15,Urban,>3,Together,4. S1,4. S1,teacher,teacher,course,mother,2. 15 - 30 mins,1. <2 hours,0,no,no,no,yes,yes,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,5. very good,0,16,16,15
GP,M,15,Urban,>3,Together,4. S1,3. SMA,teacher,services,course,father,2. 15 - 30 mins,4. >10 hours,0,yes,yes,no,no,yes,yes,yes,no,2. bad,2. low,2. low,1. very low,1. very low,3. normal,0,7,9,0
GP,M,16,Urban,<=3,Together,2. SMP,2. SMP,services,services,reputation,father,2. 15 - 30 mins,1. <2 hours,2,no,yes,no,yes,yes,yes,yes,no,2. bad,3. normal,3. normal,2. low,2. low,2. bad,8,9,9,9
GP,F,15,Urban,>3,Together,4. S1,4. S1,teacher,services,course,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,4. good,2. low,2. low,1. very low,1. very low,5. very good,2,9,11,11
GP,F,16,Urban,<=3,Together,1. SD,1. SD,at_home,at_home,course,mother,1. <15 min,1. <2 hours,0,no,no,no,no,yes,yes,yes,no,3. normal,4. high,4. high,3. normal,3. normal,1. very bad,2,14,14,13
GP,M,17,Urban,>3,Together,2. SMP,1. SD,other,other,distance,mother,1. <15 min,1. <2 hours,3,no,yes,no,no,yes,yes,yes,no,5. very good,4. high,5. very high,1. very low,2. low,5. very good,0,5,0,0
GP,F,15,Urban,>3,Together,1. SD,1. SD,other,services,course,father,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,4. high,2. low,1. very low,2. low,5. very good,0,8,11,11
GP,F,15,Urban,>3,Together,3. SMA,2. SMP,health,services,distance,father,1. <15 min,2. 2 - 5 hours,3,no,yes,no,no,yes,yes,yes,no,3. normal,3. normal,2. low,1. very low,1. very low,3. normal,0,6,7,0
GP,F,15,Urban,>3,Together,1. SD,2. SMP,at_home,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,no,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,5. very good,2,10,11,11
GP,M,16,Urban,>3,Together,4. S1,4. S1,teacher,teacher,course,mother,1. <15 min,1. <2 hours,0,no,yes,no,no,yes,no,yes,yes,3. normal,3. normal,2. low,2. low,1. very low,5. very good,0,7,6,0
GP,M,15,Urban,<=3,Apart,2. SMP,1. SD,services,other,course,mother,4. >1 hour,1. <2 hours,3,no,no,no,no,yes,yes,yes,no,4. good,5. very high,5. very high,2. low,5. very high,5. very good,0,8,9,10
GP,M,18,Urban,<=3,Together,1. SD,1. SD,other,other,course,mother,1. <15 min,1. <2 hours,3,no,no,no,no,yes,no,yes,yes,2. bad,3. normal,5. very high,2. low,5. very high,4. good,0,6,5,0
GP,M,16,Urban,<=3,Together,2. SMP,1. SD,at_home,other,course,mother,1. <15 min,1. <2 hours,1,no,no,no,yes,yes,yes,no,yes,4. good,4. high,4. high,3. normal,5. very high,5. very good,6,12,13,14
GP,F,15,Rural,>3,Together,3. SMA,3. SMA,services,services,reputation,other,2. 15 - 30 mins,3. 5 - 10 hours,2,no,yes,yes,yes,yes,yes,yes,yes,4. good,2. low,1. very low,2. low,3. normal,3. normal,8,10,10,10
GP,M,19,Urban,>3,Together,3. SMA,2. SMP,services,at_home,distance,mother,1. <15 min,1. <2 hours,3,no,yes,no,no,yes,no,yes,yes,4. good,5. very high,4. high,1. very low,1. very low,4. good,0,5,0,0
GP,F,17,Urban,>3,Together,4. S1,4. S1,other,teacher,course,mother,1. <15 min,1. <2 hours,0,yes,yes,no,no,yes,yes,no,yes,4. good,2. low,1. very low,1. very low,1. very low,4. good,0,11,11,12
GP,M,15,Rural,>3,Together,2. SMP,3. SMA,at_home,services,course,mother,1. <15 min,2. 2 - 5 hours,0,yes,no,yes,yes,yes,yes,no,no,4. good,4. high,4. high,1. very low,1. very low,1. very bad,2,11,8,8
GP,M,17,Rural,<=3,Together,1. SD,2. SMP,other,other,reputation,mother,1. <15 min,1. <2 hours,0,no,no,no,no,yes,yes,no,no,2. bad,2. low,2. low,3. normal,3. normal,5. very good,8,16,12,13
GP,F,18,Rural,>3,Together,1. SD,1. SD,at_home,other,course,mother,3. 30 mins - 1 hour,1. <2 hours,3,no,yes,no,yes,no,yes,no,no,5. very good,2. low,5. very high,1. very low,5. very high,4. good,6,9,8,10
GP,M,16,Rural,>3,Together,2. SMP,2. SMP,at_home,other,course,mother,3. 30 mins - 1 hour,1. <2 hours,0,no,no,no,no,no,yes,no,no,4. good,2. low,2. low,1. very low,2. low,3. normal,2,17,15,15
GP,M,16,Urban,>3,Together,3. SMA,3. SMA,other,services,course,father,1. <15 min,2. 2 - 5 hours,1,no,yes,yes,no,yes,yes,yes,yes,4. good,5. very high,5. very high,4. high,4. high,5. very good,4,10,12,12
GP,M,17,Rural,<=3,Together,2. SMP,1. SD,at_home,other,course,mother,2. 15 - 30 mins,1. <2 hours,2,no,no,no,yes,yes,no,yes,yes,3. normal,3. normal,2. low,2. low,2. low,5. very good,0,7,6,0
GP,M,15,Rural,>3,Together,3. SMA,2. SMP,other,other,course,mother,2. 15 - 30 mins,2. 2 - 5 hours,2,yes,yes,no,no,yes,yes,yes,yes,4. good,4. high,4. high,1. very low,4. high,3. normal,6,5,9,7
GP,M,16,Urban,<=3,Together,1. SD,2. SMP,other,other,course,mother,2. 15 - 30 mins,1. <2 hours,1,no,no,no,yes,yes,yes,no,no,4. good,4. high,4. high,2. low,4. high,5. very good,0,7,0,0
GP,M,17,Urban,>3,Together,1. SD,3. SMA,at_home,services,course,father,1. <15 min,1. <2 hours,0,no,no,no,no,yes,no,yes,no,5. very good,3. normal,3. normal,1. very low,4. high,2. bad,2,10,10,10
GP,M,17,Rural,<=3,Together,1. SD,1. SD,other,services,course,mother,4. >1 hour,2. 2 - 5 hours,3,no,no,no,yes,yes,no,no,yes,5. very good,3. normal,5. very high,1. very low,5. very high,5. very good,0,5,8,7
GP,M,16,Urban,>3,Together,3. SMA,2. SMP,services,services,course,mother,2. 15 - 30 mins,1. <2 hours,1,no,yes,no,yes,no,no,no,no,4. good,5. very high,2. low,1. very low,1. very low,2. bad,16,12,11,12
GP,M,16,Urban,>3,Together,2. SMP,2. SMP,other,other,course,father,1. <15 min,2. 2 - 5 hours,0,no,no,no,no,yes,no,yes,no,4. good,3. normal,5. very high,2. low,4. high,4. good,4,10,10,10
GP,F,16,Urban,>3,Together,4. S1,2. SMP,health,services,distance,father,1. <15 min,2. 2 - 5 hours,0,no,no,yes,no,yes,yes,yes,yes,4. good,2. low,3. normal,1. very low,1. very low,3. normal,0,14,15,16
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,other,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,no,yes,yes,no,5. very good,1. very low,5. very high,1. very low,1. very low,4. good,0,6,7,0
GP,F,16,Urban,>3,Together,4. S1,4. S1,health,health,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,yes,4. good,4. high,2. low,1. very low,1. very low,3. normal,0,14,14,14
GP,M,16,Urban,>3,Together,3. SMA,4. S1,other,other,course,father,3. 30 mins - 1 hour,1. <2 hours,2,no,yes,no,yes,no,yes,yes,no,3. normal,4. high,5. very high,2. low,4. high,2. bad,0,6,5,0
GP,M,16,Urban,>3,Together,1. SD,0. None,other,other,reputation,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4. good,3. normal,2. low,1. very low,1. very low,3. normal,2,13,15,16
GP,M,17,Urban,<=3,Together,4. S1,4. S1,teacher,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4. good,4. high,4. high,1. very low,3. normal,5. very good,0,13,11,10
GP,F,16,Urban,>3,Together,1. SD,3. SMA,at_home,services,distance,mother,1. <15 min,2. 2 - 5 hours,3,no,no,no,yes,no,yes,yes,yes,4. good,3. normal,5. very high,1. very low,1. very low,3. normal,0,8,7,0
GP,F,16,Urban,<=3,Together,3. SMA,3. SMA,other,other,reputation,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,4. good,4. high,5. very high,1. very low,1. very low,4. good,4,10,11,9
GP,M,17,Urban,<=3,Together,4. S1,3. SMA,teacher,other,course,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,no,yes,yes,yes,yes,yes,no,4. good,4. high,4. high,4. high,4. high,4. good,4,10,9,9
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,services,other,reputation,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,no,yes,yes,no,yes,yes,no,3. normal,4. high,4. high,1. very low,4. high,5. very good,2,13,13,11
GP,M,17,Urban,>3,Together,3. SMA,3. SMA,other,other,reputation,father,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,no,yes,yes,no,4. good,3. normal,4. high,1. very low,4. high,4. good,4,6,5,6
GP,M,16,Rural,>3,Together,4. S1,2. SMP,teacher,services,other,mother,1. <15 min,1. <2 hours,0,no,yes,no,yes,yes,yes,yes,yes,4. good,3. normal,3. normal,3. normal,4. high,3. normal,10,10,8,9
GP,M,17,Urban,>3,Together,4. S1,3. SMA,other,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,5. very good,2. low,3. normal,1. very low,1. very low,2. bad,4,10,10,11
GP,M,16,Urban,>3,Together,4. S1,3. SMA,teacher,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,3. normal,4. high,3. normal,2. low,3. normal,3. normal,10,9,8,8
GP,M,16,Urban,>3,Together,3. SMA,3. SMA,services,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,4. good,2. low,3. normal,1. very low,2. low,3. normal,2,12,13,12
GP,F,17,Urban,>3,Together,2. SMP,4. S1,services,services,reputation,father,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,no,no,5. very good,4. high,2. low,2. low,3. normal,5. very good,0,16,17,17
GP,F,17,Urban,<=3,Together,3. SMA,3. SMA,other,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,5. very good,3. normal,3. normal,2. low,3. normal,1. very bad,56,9,9,8
GP,F,16,Urban,>3,Together,3. SMA,2. SMP,other,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,1. very bad,2. low,2. low,1. very low,2. low,1. very bad,14,12,13,12
GP,M,17,Urban,>3,Together,3. SMA,3. SMA,services,services,other,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4. good,3. normal,4. high,2. low,3. normal,4. good,12,12,12,11
GP,M,16,Urban,>3,Together,1. SD,2. SMP,services,services,other,mother,1. <15 min,1. <2 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3. normal,3. normal,3. normal,1. very low,2. low,3. normal,2,11,12,11
GP,M,16,Urban,<=3,Together,2. SMP,1. SD,other,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,no,yes,yes,yes,yes,yes,yes,4. good,2. low,3. normal,1. very low,2. low,5. very good,0,15,15,15
GP,F,17,Urban,>3,Apart,3. SMA,3. SMA,health,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,no,yes,yes,yes,3. normal,3. normal,3. normal,1. very low,3. normal,3. normal,6,8,7,9
GP,M,17,Rural,>3,Together,1. SD,2. SMP,at_home,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,no,yes,yes,no,no,3. normal,1. very low,3. normal,1. very low,5. very high,3. normal,4,8,9,10
GP,F,16,Urban,>3,Together,2. SMP,3. SMA,services,services,course,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,no,yes,yes,yes,no,4. good,3. normal,3. normal,1. very low,1. very low,2. bad,10,11,12,13
GP,F,17,Urban,>3,Together,1. SD,1. SD,at_home,services,course,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,3. normal,0,8,8,9
GP,M,17,Urban,>3,Together,1. SD,2. SMP,at_home,services,other,other,2. 15 - 30 mins,2. 2 - 5 hours,0,no,no,yes,yes,no,yes,yes,no,4. good,4. high,4. high,4. high,5. very high,5. very good,12,7,8,8
GP,M,16,Rural,>3,Together,3. SMA,3. SMA,services,services,reputation,mother,1. <15 min,1. <2 hours,0,no,yes,no,yes,yes,yes,yes,no,4. good,3. normal,2. low,3. normal,4. high,5. very good,8,8,9,10
GP,M,16,Urban,>3,Together,2. SMP,3. SMA,other,other,distance,father,2. 15 - 30 mins,1. <2 hours,0,no,no,no,no,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,3. normal,0,13,14,14
GP,F,17,Urban,<=3,Together,2. SMP,4. S1,services,services,course,father,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,yes,yes,yes,yes,4. good,3. normal,2. low,1. very low,1. very low,5. very good,0,14,15,15
